Route_name,Route_link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seats_available
Hazaribagh to Muzaffarpur (Bihar),https://www.redbus.in/bus-tickets/hazaribagh-to-muzaffarpur,Tejas Maa Bhawani,A/C Seater / Sleeper (2+2),21:35,07h 55m,05:30,2.9,INR 799,20 Seats available
Hazaribagh to Muzaffarpur (Bihar),https://www.redbus.in/bus-tickets/hazaribagh-to-muzaffarpur,Tejas Maa Bhawani,A/C Sleeper (2+1),21:41,07h 34m,05:15,2.4,INR 849,10 Seats available
Motihari to Agra,https://www.redbus.in/bus-tickets/motihari-to-agra,Bihar state road transport corporation (BSRTC) - 152154,Volvo AC Seater 2+2,15:30,13h 30m,05:00,3.9,1025,42 Seats available
Motihari to Agra,https://www.redbus.in/bus-tickets/motihari-to-agra,Bihar state road transport corporation (BSRTC) - 137431,Volvo AC Seater 2+2,17:20,14h 40m,08:00,2.2,1105,40 Seats available
Motihari to Agra,https://www.redbus.in/bus-tickets/motihari-to-agra,Panwar Travels,A/C Sleeper (2+1),15:40,14h 35m,06:15,2.8,1711,24 Seats available
Motihari to Agra,https://www.redbus.in/bus-tickets/motihari-to-agra,Travel Point World LLP,A/C Seater / Sleeper (2+2),18:20,12h 30m,06:50,1.6,1749,38 Seats available
Motihari to Agra,https://www.redbus.in/bus-tickets/motihari-to-agra,,,,,,,,
Motihari to Lucknow,https://www.redbus.in/bus-tickets/motihari-to-lucknow,Bihar state road transport corporation (BSRTC) - 152154,Volvo AC Seater 2+2,15:30,09h 30m,01:00,3.9,680,42 Seats available
Motihari to Lucknow,https://www.redbus.in/bus-tickets/motihari-to-lucknow,Bihar state road transport corporation (BSRTC) - 137431,Volvo AC Seater 2+2,17:20,10h 05m,03:25,4.2,INR 800,40 Seats available
Motihari to Lucknow,https://www.redbus.in/bus-tickets/motihari-to-lucknow,Panwar Travels,A/C Sleeper (2+1),15:40,10h 00m,01:40,4.3,1711,20 Seats available
Motihari to Lucknow,https://www.redbus.in/bus-tickets/motihari-to-lucknow,MISHRA BANDHU BUS SERVICE,A/C Seater / Sleeper (2+1),16:55,11h 19m,04:14,2.6,INR 1999,35 Seats available
Motihari to Lucknow,https://www.redbus.in/bus-tickets/motihari-to-lucknow,,,,,,,,
Motihari to Lucknow,https://www.redbus.in/bus-tickets/motihari-to-lucknow,,,,,,,,
Motihari to Lucknow,https://www.redbus.in/bus-tickets/motihari-to-lucknow,,,,,,,,
Muzaffarpur (Bihar) to Hazaribagh,https://www.redbus.in/bus-tickets/muzaffarpur-to-hazaribagh,Bihar state road transport corporation (BSRTC) - 153594,AC Seater (2+2),18:00,10h 00m,04:00,3.2,INR 484,35 Seats available
Muzaffarpur (Bihar) to Hazaribagh,https://www.redbus.in/bus-tickets/muzaffarpur-to-hazaribagh,Pawapuri Motors,A/C Seater / Sleeper (2+1),17:30,09h 30m,03:00,2.2,675,14 Seats available
Muzaffarpur (Bihar) to Hazaribagh,https://www.redbus.in/bus-tickets/muzaffarpur-to-hazaribagh,Tejas Maa Bhawani,A/C Seater / Sleeper (2+2),19:00,07h 30m,02:30,2.3,INR 800,14 Seats available
Muzaffarpur (Bihar) to Hazaribagh,https://www.redbus.in/bus-tickets/muzaffarpur-to-hazaribagh,Tejas Maa Bhawani,AC Sleeper (2+1),18:45,08h 40m,03:25,2.3,INR 900,4 Seats available
Muzaffarpur (Bihar) to Hazaribagh,https://www.redbus.in/bus-tickets/muzaffarpur-to-hazaribagh,Tejas Maa Bhawani,A/C Sleeper (2+1),18:55,09h 05m,04:00,2.3,INR 900,5 Seats available
Katihar to Patna (Bihar),https://www.redbus.in/bus-tickets/katihar-to-patna,Bihar state road transport corporation (BSRTC) - 156563,AC Seater (2+2),18:00,10h 00m,04:00,3.7,INR 468,36 Seats available
Katihar to Patna (Bihar),https://www.redbus.in/bus-tickets/katihar-to-patna,SOBHA TRAVELS (A.T),A/C Seater / Sleeper (2+1),20:00,09h 00m,05:00,1.8,495,30 Seats available
Patna (Bihar) to Araria (Bihar),https://www.redbus.in/bus-tickets/patna-to-araria,Bihar state road transport corporation (BSRTC) - 142847,AC Seater (2+2),21:25,07h 10m,04:35,4.0,INR 468,35 Seats available
Patna (Bihar) to Araria (Bihar),https://www.redbus.in/bus-tickets/patna-to-araria,Divya Rath,A/C Sleeper (2+1),20:45,08h 00m,04:45,4.1,648,21 Seats available
Patna (Bihar) to Araria (Bihar),https://www.redbus.in/bus-tickets/patna-to-araria,MAA SHANTI TRAVELS,A/C Seater / Sleeper (2+1),22:10,07h 15m,05:25,4.7,600,14 Seats available
Patna (Bihar) to Araria (Bihar),https://www.redbus.in/bus-tickets/patna-to-araria,Sadhvi Rath,A/C Seater / Sleeper (2+1),20:20,08h 50m,05:10,3.2,495,42 Seats available
Patna (Bihar) to Araria (Bihar),https://www.redbus.in/bus-tickets/patna-to-araria,AITIANA CRUISELINERS,,20:20,08h 10m,04:30,3.1,INR 500,8 Seats available
Patna (Bihar) to Forbesganj,https://www.redbus.in/bus-tickets/patna-to-forbesganj,Bihar state road transport corporation (BSRTC) - 142847,AC Seater (2+2),21:25,06h 35m,04:00,4.0,INR 450,35 Seats available
Patna (Bihar) to Forbesganj,https://www.redbus.in/bus-tickets/patna-to-forbesganj,Divya Rath,A/C Sleeper (2+1),20:45,07h 00m,03:45,4.6,648,21 Seats available
Patna (Bihar) to Forbesganj,https://www.redbus.in/bus-tickets/patna-to-forbesganj,MAA SHANTI TRAVELS,A/C Seater / Sleeper (2+1),22:10,06h 50m,05:00,4.7,600,33 Seats available
Patna (Bihar) to Forbesganj,https://www.redbus.in/bus-tickets/patna-to-forbesganj,Meera Travels (Yvts),A/C Seater / Sleeper (2+1),20:30,08h 45m,05:15,1.8,555,51 Seats available
Patna (Bihar) to Forbesganj,https://www.redbus.in/bus-tickets/patna-to-forbesganj,Raj Bus Services,A/C Seater / Sleeper (2+1),16:55,09h 10m,02:05,3.4,463,22 Seats available
Darbhanga to Patna (Bihar),https://www.redbus.in/bus-tickets/darbhanga-to-patna,Sri Krishna Tours and Travels,A/C Seater Push Back (2+2),12:20,03h 40m,16:00,3.2,333,15 Seats available
Darbhanga to Patna (Bihar),https://www.redbus.in/bus-tickets/darbhanga-to-patna,Sri Krishna Tours and Travels,A/C Seater Push Back (2+2),16:30,03h 30m,20:00,3.5,314,10 Seats available
Darbhanga to Patna (Bihar),https://www.redbus.in/bus-tickets/darbhanga-to-patna,Sri Krishna Tours and Travels,A/C Seater Push Back (2+2),17:00,03h 55m,20:55,3.6,314,7 Seats available
Darbhanga to Patna (Bihar),https://www.redbus.in/bus-tickets/darbhanga-to-patna,Shiv Ganga Travels,AC Seater (2+2),10:46,03h 44m,14:30,1.3,INR 330,45 Seats available
Darbhanga to Patna (Bihar),https://www.redbus.in/bus-tickets/darbhanga-to-patna,Shiv Ganga Travels,A/C Seater (2+2),11:13,03h 47m,15:00,2.1,INR 330,28 Seats available
Patna (Bihar) to Saharsa,https://www.redbus.in/bus-tickets/patna-to-saharsa,Bihar state road transport corporation (BSRTC) - 152896,Non AC Seater (2+2),21:59,08h 01m,06:00,2.8,INR 400,8 Seats available
